#Organism/Name	TaxID	BioProject Accession	BioProject ID	Group	SubGroup	Size (Mb)	GC%	Chromosomes/RefSeq	Chromosomes/INSDC	Plasmids/RefSeq	Plasmids/INSDC	WGS	Scaffolds	Genes	Proteins	Release Date	Modify Date	Status	Center
Campylobacter jejuni subsp. jejuni BH-01-0142	482628	PRJNA54981	54981	Proteobacteria	delta/epsilon subdivisions	0.118623	27.1	-	-	-	-	ABKD01	53	123	106	2008/09/12	2008/12/03	Scaffolds or contigs	Naval Medical Research Center
Campylobacter jejuni subsp. jejuni NCTC 11168 = ATCC 700819	192222	PRJNA57587	57587	Proteobacteria	delta/epsilon subdivisions	1.64148	30.5	NC_002163.1	AL111168.1	-	-	-	1	1699	1623	2001/09/27	2012/01/20	Complete	Sanger Institute
Campylobacter jejuni RM1221	195099	PRJNA57899	57899	Proteobacteria	delta/epsilon subdivisions	1.77783	30.3	NC_003912.7	CP000025.1	-	-	-	1	1940	1838	2002/05/16	2011/08/01	Complete	TIGR
Campylobacter jejuni subsp. jejuni 81-176	354242	PRJNA58503	58503	Proteobacteria	delta/epsilon subdivisions	1.69905	30.4566	NC_008787.1	CP000538.1	NC_008790.1,NC_008770.1	CP000549.1,CP000550.1	-	3	1812	1758	2007/01/09	2009/05/07	Complete	TIGR
Campylobacter jejuni subsp. doylei 269.97	360109	PRJNA58671	58671	Proteobacteria	delta/epsilon subdivisions	1.84511	30.6	NC_009707.1	CP000768.1	-	-	-	1	2037	1731	2007/07/20	2012/01/25	Complete	TIGR
Campylobacter jejuni subsp. jejuni 81116	407148	PRJNA58771	58771	Proteobacteria	delta/epsilon subdivisions	1.62811	30.5	NC_009839.1	CP000814.1	-	-	-	1	1681	1626	2007/09/20	2010/04/27	Complete	BBSRC Institute of Food Research
Campylobacter jejuni subsp. jejuni ICDCCJ07001	757425	PRJNA61249	61249	Proteobacteria	delta/epsilon subdivisions	1.70892	30.551	NC_014802.1	CP002029.1	NC_014801.1	CP002030.1	-	2	1671	1534	2010/12/14	2010/12/16	Complete	Dept. of  Diagnosis for Infectious Disease
Campylobacter jejuni subsp. jejuni str. RM3407	1070747	PRJNA70849	70849	Proteobacteria	delta/epsilon subdivisions	-	-	-	-	-	-	-	-	-	-	-	-	No data	USDA-ARS-WRRC-PSM
Campylobacter jejuni subsp. jejuni str. RM3408	1070748	PRJNA70853	70853	Proteobacteria	delta/epsilon subdivisions	-	-	-	-	-	-	-	-	-	-	-	-	No data	USDA-ARS-WRRC-PSM
Campylobacter jejuni subsp. jejuni str. RM3409	1070749	PRJNA70855	70855	Proteobacteria	delta/epsilon subdivisions	-	-	-	-	-	-	-	-	-	-	-	-	No data	USDA-ARS-WRRC-PSM
Campylobacter jejuni subsp. jejuni str. RM3411	1070750	PRJNA70857	70857	Proteobacteria	delta/epsilon subdivisions	-	-	-	-	-	-	-	-	-	-	-	-	No data	USDA-ARS-WRRC-PSM
Campylobacter jejuni subsp. jejuni str. RM3412	1070751	PRJNA70859	70859	Proteobacteria	delta/epsilon subdivisions	-	-	-	-	-	-	-	-	-	-	-	-	No data	USDA-ARS-WRRC-PSM
Campylobacter jejuni subsp. jejuni str. RM3413	1070752	PRJNA70863	70863	Proteobacteria	delta/epsilon subdivisions	-	-	-	-	-	-	-	-	-	-	-	-	No data	USDA-ARS-WRRC-PSM
Campylobacter jejuni subsp. jejuni str. RM3414	1070753	PRJNA70865	70865	Proteobacteria	delta/epsilon subdivisions	-	-	-	-	-	-	-	-	-	-	-	-	No data	USDA-ARS-WRRC-PSM
Campylobacter jejuni subsp. jejuni str. RM3415	1070754	PRJNA70867	70867	Proteobacteria	delta/epsilon subdivisions	-	-	-	-	-	-	-	-	-	-	-	-	No data	USDA-ARS-WRRC-PSM
Campylobacter jejuni subsp. jejuni str. RM3416	1070755	PRJNA70869	70869	Proteobacteria	delta/epsilon subdivisions	-	-	-	-	-	-	-	-	-	-	-	-	No data	USDA-ARS-WRRC-PSM
Campylobacter jejuni subsp. jejuni str. RM3203	1070745	PRJNA70871	70871	Proteobacteria	delta/epsilon subdivisions	-	-	-	-	-	-	-	-	-	-	-	-	No data	USDA-ARS-WRRC-PSM
Campylobacter jejuni subsp. jejuni str. RM2227	1070744	PRJNA70873	70873	Proteobacteria	delta/epsilon subdivisions	-	-	-	-	-	-	-	-	-	-	-	-	No data	USDA-ARS-WRRC-PSM
Campylobacter jejuni subsp. jejuni str. RM3417	1070756	PRJNA70875	70875	Proteobacteria	delta/epsilon subdivisions	-	-	-	-	-	-	-	-	-	-	-	-	No data	USDA-ARS-WRRC-PSM
Campylobacter jejuni subsp. jejuni str. RM3418	1070757	PRJNA70877	70877	Proteobacteria	delta/epsilon subdivisions	-	-	-	-	-	-	-	-	-	-	-	-	No data	USDA-ARS-WRRC-PSM
Campylobacter jejuni subsp. jejuni str. RM3419	1070758	PRJNA70879	70879	Proteobacteria	delta/epsilon subdivisions	-	-	-	-	-	-	-	-	-	-	-	-	No data	USDA-ARS-WRRC-PSM
Campylobacter jejuni subsp. jejuni str. RM3208	1070746	PRJNA70881	70881	Proteobacteria	delta/epsilon subdivisions	-	-	-	-	-	-	-	-	-	-	-	-	No data	USDA-ARS-WRRC-PSM
Campylobacter jejuni subsp. jejuni str. RM3421	1070759	PRJNA70883	70883	Proteobacteria	delta/epsilon subdivisions	-	-	-	-	-	-	-	-	-	-	-	-	No data	USDA-ARS-WRRC-PSM
Campylobacter jejuni subsp. jejuni str. RM3423	1070760	PRJNA70885	70885	Proteobacteria	delta/epsilon subdivisions	-	-	-	-	-	-	-	-	-	-	-	-	No data	USDA-ARS-WRRC-PSM
Campylobacter jejuni subsp. jejuni str. RM3424	1070761	PRJNA70887	70887	Proteobacteria	delta/epsilon subdivisions	-	-	-	-	-	-	-	-	-	-	-	-	No data	USDA-ARS-WRRC-PSM
Campylobacter jejuni subsp. jejuni str. RM3425	1070762	PRJNA70889	70889	Proteobacteria	delta/epsilon subdivisions	-	-	-	-	-	-	-	-	-	-	-	-	No data	USDA-ARS-WRRC-PSM
Campylobacter jejuni subsp. jejuni str. RM1170	1070742	PRJNA70891	70891	Proteobacteria	delta/epsilon subdivisions	-	-	-	-	-	-	-	-	-	-	-	-	No data	USDA-ARS-WRRC-PSM
Campylobacter jejuni subsp. jejuni str. RM3426	1075073	PRJNA70893	70893	Proteobacteria	delta/epsilon subdivisions	-	-	-	-	-	-	-	-	-	-	-	-	No data	USDA-ARS-WRRC-PSM
Campylobacter jejuni subsp. jejuni str. RM3428	1070763	PRJNA70895	70895	Proteobacteria	delta/epsilon subdivisions	-	-	-	-	-	-	-	-	-	-	-	-	No data	USDA-ARS-WRRC-PSM
Campylobacter jejuni subsp. jejuni str. RM4271	1076693	PRJNA70897	70897	Proteobacteria	delta/epsilon subdivisions	-	-	-	-	-	-	-	-	-	-	-	-	No data	USDA-ARS-WRRC-PSM
Campylobacter jejuni subsp. jejuni str. RM3429	1070764	PRJNA70899	70899	Proteobacteria	delta/epsilon subdivisions	-	-	-	-	-	-	-	-	-	-	-	-	No data	USDA-ARS-WRRC-PSM
Campylobacter jejuni subsp. jejuni str. RM1503	1070743	PRJNA70901	70901	Proteobacteria	delta/epsilon subdivisions	-	-	-	-	-	-	-	-	-	-	-	-	No data	USDA-ARS-WRRC-PSM
Campylobacter jejuni subsp. jejuni str. RM3431	1070765	PRJNA70903	70903	Proteobacteria	delta/epsilon subdivisions	-	-	-	-	-	-	-	-	-	-	-	-	No data	USDA-ARS-WRRC-PSM
Campylobacter jejuni subsp. jejuni str. RM3432	1070766	PRJNA70905	70905	Proteobacteria	delta/epsilon subdivisions	-	-	-	-	-	-	-	-	-	-	-	-	No data	USDA-ARS-WRRC-PSM
Campylobacter jejuni subsp. jejuni str. RM4274	1075074	PRJNA70907	70907	Proteobacteria	delta/epsilon subdivisions	-	-	-	-	-	-	-	-	-	-	-	-	No data	USDA-ARS-WRRC-PSM
Campylobacter jejuni subsp. jejuni str. RM3433	1070767	PRJNA70909	70909	Proteobacteria	delta/epsilon subdivisions	-	-	-	-	-	-	-	-	-	-	-	-	No data	USDA-ARS-WRRC-PSM
Campylobacter jejuni subsp. jejuni str. RM3434	1070768	PRJNA70911	70911	Proteobacteria	delta/epsilon subdivisions	-	-	-	-	-	-	-	-	-	-	-	-	No data	USDA-ARS-WRRC-PSM
Campylobacter jejuni subsp. jejuni str. RM3436	1070770	PRJNA70913	70913	Proteobacteria	delta/epsilon subdivisions	-	-	-	-	-	-	-	-	-	-	-	-	No data	USDA-ARS-WRRC-PSM
Campylobacter jejuni subsp. jejuni str. RM3437	1070771	PRJNA70915	70915	Proteobacteria	delta/epsilon subdivisions	-	-	-	-	-	-	-	-	-	-	-	-	No data	USDA-ARS-WRRC-PSM
Campylobacter jejuni subsp. jejuni str. RM3438	1070772	PRJNA70917	70917	Proteobacteria	delta/epsilon subdivisions	-	-	-	-	-	-	-	-	-	-	-	-	No data	USDA-ARS-WRRC-PSM
Campylobacter jejuni subsp. jejuni str. RM3439	1070773	PRJNA70919	70919	Proteobacteria	delta/epsilon subdivisions	-	-	-	-	-	-	-	-	-	-	-	-	No data	USDA-ARS-WRRC-PSM
Campylobacter jejuni subsp. doylei str. RM3440	1070741	PRJNA70921	70921	Proteobacteria	delta/epsilon subdivisions	-	-	-	-	-	-	-	-	-	-	-	-	No data	USDA-ARS-WRRC-PSM
Campylobacter jejuni subsp. jejuni str. RM3441	1075075	PRJNA70923	70923	Proteobacteria	delta/epsilon subdivisions	-	-	-	-	-	-	-	-	-	-	-	-	No data	USDA-ARS-WRRC-PSM
Campylobacter jejuni subsp. jejuni str. RM3442	1124981	PRJNA70925	70925	Proteobacteria	delta/epsilon subdivisions	-	-	-	-	-	-	-	-	-	-	-	-	No data	USDA-ARS-WRRC-PSM
Campylobacter jejuni subsp. jejuni str. RM3435	1070769	PRJNA70927	70927	Proteobacteria	delta/epsilon subdivisions	-	-	-	-	-	-	-	-	-	-	-	-	No data	USDA-ARS-WRRC-PSM
Campylobacter jejuni subsp. jejuni xy259	1111072	PRJEA76201	76201	Proteobacteria	delta/epsilon subdivisions	1.70978	30.3	-	-	-	-	CAFR01	68	-	-	2012/01/10	2012/01/10	Scaffolds or contigs	Hannover Medical School, Institute for Microbiology
Campylobacter jejuni subsp. jejuni RB922	1111073	PRJEA76203	76203	Proteobacteria	delta/epsilon subdivisions	1.71532	30.4	-	-	-	-	CAFS01	156	-	-	2012/01/10	2012/01/10	Scaffolds or contigs	Hannover Medical School, Institute for Microbiology
Campylobacter jejuni subsp. jejuni 6399	1111074	PRJEA76205	76205	Proteobacteria	delta/epsilon subdivisions	1.62703	30.4	-	-	-	-	CAFT01	43	-	-	2012/01/10	2012/01/10	Scaffolds or contigs	Hannover Medical School, Institute for Microbiology
Campylobacter jejuni subsp. jejuni 04197	1111075	PRJEA76207	76207	Proteobacteria	delta/epsilon subdivisions	1.70134	30.5	-	-	-	-	CAFU01	83	-	-	2012/01/10	2012/01/10	Scaffolds or contigs	Hannover Medical School, Institute for Microbiology
Campylobacter jejuni subsp. jejuni 04199	1111076	PRJEA76209	76209	Proteobacteria	delta/epsilon subdivisions	1.73222	30.4	-	-	-	-	CAFV01	71	-	-	2012/01/10	2012/01/10	Scaffolds or contigs	Hannover Medical School, Institute for Microbiology
Campylobacter jejuni subsp. jejuni ATCC 33560	889247	PRJNA84201	84201	Proteobacteria	delta/epsilon subdivisions	1.73219	30.1	-	-	-	-	AIJN01	43	-	-	2012/03/07	2012/03/07	Scaffolds or contigs	University of Tennessee
Campylobacter jejuni subsp. jejuni NCTC 11168 = ATCC 700819	192222	PRJNA85567	85567	Proteobacteria	delta/epsilon subdivisions	-	-	-	-	-	-	-	-	-	-	-	-	SRA or Traces	Mansfield Lab, Michigan State University
Campylobacter jejuni subsp. jejuni IA3902	567106	PRJNA159531	159531	Proteobacteria	delta/epsilon subdivisions	1.67222	30.4955	NC_017279.1	CP001876.1	NC_017284.1	CP001877.1	-	2	1740	1666	2010/01/29	2012/06/19	Complete	Iowa State University
Campylobacter jejuni subsp. jejuni S3	718271	PRJNA159533	159533	Proteobacteria	delta/epsilon subdivisions	1.72458	30.4624	NC_017281.1	CP001960.1	NC_017282.1	CP001961.1	-	2	1866	1783	2010/12/14	2012/06/14	Complete	The University of Arizona, Department of Veterinary Science & Microbiology
Campylobacter jejuni subsp. jejuni M1	645464	PRJNA159535	159535	Proteobacteria	delta/epsilon subdivisions	1.61665	30.6	NC_017280.1	CP001900.1	-	-	-	1	1675	1622	2010/09/28	2012/06/18	Complete	Danish Technical University
Campylobacter jejuni subsp. jejuni NCTC 11168-PO	1177189	PRJNA159829	159829	Proteobacteria	delta/epsilon subdivisions	-	-	-	-	-	-	-	-	-	-	-	-	SRA or Traces	The University of Arizona
Campylobacter jejuni subsp. jejuni P854	1151115	PRJNA162733	162733	Proteobacteria	delta/epsilon subdivisions	1.74486	30	-	-	-	-	AKFN01	146	-	-	2012/07/31	2012/08/06	Scaffolds or contigs	University of Birmingham
Campylobacter jejuni subsp. jejuni NCTC 11168-BN148	1211776	PRJEA174152	174152	Proteobacteria	delta/epsilon subdivisions	1.64148	30.5	NC_018521.1	HE978252.1	-	-	-	1	1699	1622	2012/08/16	2012/12/25	Complete	University of Helsinki
Campylobacter jejuni subsp. jejuni PT14	1201032	PRJNA176499	176499	Proteobacteria	delta/epsilon subdivisions	1.63525	30.5	NC_018709.2	CP003871.2	-	-	-	1	1657	1607	2012/10/03	2012/11/04	Complete	University of Nottingham
Campylobacter jejuni subsp. jejuni DFVF1099	691336	PRJNA179578	179578	Proteobacteria	delta/epsilon subdivisions	1.73386	30.4	-	-	-	-	ADHK01	71	1964	1920	2011/01/03	2012/11/15	Scaffolds or contigs	Faculty of Life Sciences, Department of Food Science, University of Copenhagen
Campylobacter jejuni subsp. jejuni 305	691337	PRJNA179579	179579	Proteobacteria	delta/epsilon subdivisions	1.80827	30.4	-	-	-	-	ADHL01	333	2268	2138	2011/01/03	2012/11/15	Scaffolds or contigs	Faculty of Life Sciences, Department of Food Science, University of Copenhagen
Campylobacter jejuni subsp. jejuni 327	691338	PRJNA179580	179580	Proteobacteria	delta/epsilon subdivisions	1.61861	30.5	-	-	-	-	ADHM01	48	1786	1711	2011/01/03	2012/11/15	Scaffolds or contigs	Faculty of Life Sciences, Department of Food Science, University of Copenhagen
Campylobacter jejuni subsp. jejuni 129-258	889213	PRJNA180344	180344	Proteobacteria	delta/epsilon subdivisions	1.60816	46	-	-	-	-	AINY01	102	1713	1679	2012/03/16	2012/11/16	Scaffolds or contigs	Cornell University
Campylobacter jejuni subsp. jejuni 51494	889216	PRJNA180345	180345	Proteobacteria	delta/epsilon subdivisions	1.80364	46	-	-	-	-	AINZ01	215	2009	1975	2012/03/16	2012/11/16	Scaffolds or contigs	Cornell University
Campylobacter jejuni subsp. jejuni LMG 23216	889239	PRJNA180346	180346	Proteobacteria	delta/epsilon subdivisions	1.47429	46	-	-	-	-	AIOA01	121	1598	1563	2012/03/16	2012/11/17	Scaffolds or contigs	Cornell University
Campylobacter jejuni subsp. jejuni LMG 23218	889240	PRJNA180347	180347	Proteobacteria	delta/epsilon subdivisions	1.67893	46	-	-	-	-	AIOB01	106	1770	1734	2012/03/16	2012/11/17	Scaffolds or contigs	Cornell University
Campylobacter jejuni subsp. jejuni LMG 23223	889241	PRJNA180348	180348	Proteobacteria	delta/epsilon subdivisions	1.6325	46	-	-	-	-	AIOC01	105	1739	1703	2012/03/16	2012/11/17	Scaffolds or contigs	Cornell University
Campylobacter jejuni subsp. jejuni LMG 23263	889242	PRJNA180349	180349	Proteobacteria	delta/epsilon subdivisions	1.74471	46	-	-	-	-	AIOD01	172	1908	1874	2012/03/16	2012/11/17	Scaffolds or contigs	Cornell University
Campylobacter jejuni subsp. jejuni 60004	889217	PRJNA180350	180350	Proteobacteria	delta/epsilon subdivisions	1.67541	46	-	-	-	-	AIOE01	143	1805	1771	2012/03/16	2012/11/17	Scaffolds or contigs	Cornell University
Campylobacter jejuni subsp. jejuni LMG 23264	889243	PRJNA180351	180351	Proteobacteria	delta/epsilon subdivisions	1.72085	46	-	-	-	-	AIOF01	147	1871	1837	2012/03/16	2012/11/17	Scaffolds or contigs	Cornell University
Campylobacter jejuni subsp. jejuni LMG 23269	889244	PRJNA180352	180352	Proteobacteria	delta/epsilon subdivisions	1.6284	46	-	-	-	-	AIOG01	124	1762	1728	2012/03/16	2012/11/17	Scaffolds or contigs	Cornell University
Campylobacter jejuni subsp. jejuni 55037	889218	PRJNA180353	180353	Proteobacteria	delta/epsilon subdivisions	1.58972	46	-	-	-	-	AIOH01	104	1700	1666	2012/03/16	2012/11/17	Scaffolds or contigs	Cornell University
Campylobacter jejuni subsp. jejuni LMG 9879	889245	PRJNA180354	180354	Proteobacteria	delta/epsilon subdivisions	1.65081	46	-	-	-	-	AIOI01	129	1768	1734	2012/03/16	2012/11/17	Scaffolds or contigs	Cornell University
Campylobacter jejuni subsp. jejuni 86605	889219	PRJNA180355	180355	Proteobacteria	delta/epsilon subdivisions	1.6384	46	-	-	-	-	AIOJ01	120	1730	1697	2012/03/16	2012/11/17	Scaffolds or contigs	Cornell University
Campylobacter jejuni subsp. jejuni LMG 23357	889246	PRJNA180356	180356	Proteobacteria	delta/epsilon subdivisions	1.67286	46	-	-	-	-	AIOK01	126	1807	1773	2012/03/16	2012/11/17	Scaffolds or contigs	Cornell University
Campylobacter jejuni subsp. jejuni ATCC 33560	889247	PRJNA180357	180357	Proteobacteria	delta/epsilon subdivisions	1.71246	46	-	-	-	-	AIOL01	220	1843	1810	2012/03/16	2012/11/17	Scaffolds or contigs	Cornell University
Campylobacter jejuni subsp. jejuni LMG 9081	889248	PRJNA180358	180358	Proteobacteria	delta/epsilon subdivisions	1.59384	46	-	-	-	-	AIOM01	108	1667	1631	2012/03/16	2012/11/17	Scaffolds or contigs	Cornell University
Campylobacter jejuni subsp. jejuni 53161	889220	PRJNA180359	180359	Proteobacteria	delta/epsilon subdivisions	1.56274	46	-	-	-	-	AION01	123	1689	1652	2012/03/16	2012/11/17	Scaffolds or contigs	Cornell University
Campylobacter jejuni subsp. jejuni LMG 9217	889249	PRJNA180360	180360	Proteobacteria	delta/epsilon subdivisions	1.65345	46	-	-	-	-	AIOO01	118	1788	1754	2012/03/16	2012/11/17	Scaffolds or contigs	Cornell University
Campylobacter jejuni subsp. jejuni 2008-1025	889250	PRJNA180361	180361	Proteobacteria	delta/epsilon subdivisions	1.66104	46	-	-	-	-	AIOP01	139	1809	1775	2012/03/16	2012/11/17	Scaffolds or contigs	Cornell University
Campylobacter jejuni subsp. jejuni 2008-894	889251	PRJNA180362	180362	Proteobacteria	delta/epsilon subdivisions	1.62793	46	-	-	-	-	AIOQ01	116	1744	1710	2012/03/16	2012/11/17	Scaffolds or contigs	Cornell University
Campylobacter jejuni subsp. jejuni 2008-872	889252	PRJNA180363	180363	Proteobacteria	delta/epsilon subdivisions	1.60231	46	-	-	-	-	AIOR01	114	1702	1668	2012/03/16	2012/11/17	Scaffolds or contigs	Cornell University
Campylobacter jejuni subsp. jejuni 2008-988	889253	PRJNA180364	180364	Proteobacteria	delta/epsilon subdivisions	1.82078	46	-	-	-	-	AIOS01	206	2006	1970	2012/03/16	2012/11/17	Scaffolds or contigs	Cornell University
Campylobacter jejuni subsp. jejuni 1997-1	889221	PRJNA180365	180365	Proteobacteria	delta/epsilon subdivisions	1.6043	46	-	-	-	-	AIOT01	112	1727	1693	2012/03/16	2012/11/17	Scaffolds or contigs	Cornell University
Campylobacter jejuni subsp. jejuni 2008-979	889254	PRJNA180366	180366	Proteobacteria	delta/epsilon subdivisions	1.79843	46	-	-	-	-	AIOU01	217	2014	1982	2012/03/16	2012/11/17	Scaffolds or contigs	Cornell University
Campylobacter jejuni subsp. jejuni 2008-831	889255	PRJNA180367	180367	Proteobacteria	delta/epsilon subdivisions	1.60941	46	-	-	-	-	AIOV01	120	1703	1669	2012/03/16	2012/11/17	Scaffolds or contigs	Cornell University
Campylobacter jejuni subsp. jejuni 1997-4	889222	PRJNA180368	180368	Proteobacteria	delta/epsilon subdivisions	1.67022	46	-	-	-	-	AIOW01	129	1770	1736	2012/03/16	2012/11/17	Scaffolds or contigs	Cornell University
Campylobacter jejuni subsp. jejuni 1997-7	889223	PRJNA180369	180369	Proteobacteria	delta/epsilon subdivisions	1.58976	46	-	-	-	-	AIOX01	76	1683	1649	2012/03/16	2012/11/17	Scaffolds or contigs	Cornell University
Campylobacter jejuni subsp. jejuni 1997-10	889224	PRJNA180370	180370	Proteobacteria	delta/epsilon subdivisions	1.78075	46	-	-	-	-	AIOY01	193	1948	1916	2012/03/16	2012/11/17	Scaffolds or contigs	Cornell University
Campylobacter jejuni subsp. jejuni 1997-11	889225	PRJNA180371	180371	Proteobacteria	delta/epsilon subdivisions	1.60176	46	-	-	-	-	AIOZ01	115	1718	1684	2012/03/16	2012/11/17	Scaffolds or contigs	Cornell University
Campylobacter jejuni subsp. jejuni 1997-14	889226	PRJNA180372	180372	Proteobacteria	delta/epsilon subdivisions	1.76694	46	-	-	-	-	AIPA01	196	1946	1912	2012/03/16	2012/11/17	Scaffolds or contigs	Cornell University
Campylobacter jejuni subsp. jejuni 51037	889227	PRJNA180373	180373	Proteobacteria	delta/epsilon subdivisions	1.74736	46	-	-	-	-	AIPB01	207	1918	1882	2012/03/16	2012/11/17	Scaffolds or contigs	Cornell University
Campylobacter jejuni subsp. jejuni 110-21	889214	PRJNA180374	180374	Proteobacteria	delta/epsilon subdivisions	1.61923	46	-	-	-	-	AIPC01	113	1731	1697	2012/03/16	2012/11/17	Scaffolds or contigs	Cornell University
Campylobacter jejuni subsp. jejuni 87330	889228	PRJNA180375	180375	Proteobacteria	delta/epsilon subdivisions	1.6104	46	-	-	-	-	AIPD01	107	1719	1682	2012/03/16	2012/11/17	Scaffolds or contigs	Cornell University
Campylobacter jejuni subsp. jejuni 87459	889229	PRJNA180376	180376	Proteobacteria	delta/epsilon subdivisions	1.728	46	-	-	-	-	AIPE01	201	1910	1874	2012/03/16	2012/11/17	Scaffolds or contigs	Cornell University
Campylobacter jejuni subsp. jejuni 140-16	889215	PRJNA180377	180377	Proteobacteria	delta/epsilon subdivisions	1.6782	46	-	-	-	-	AIPF01	123	1817	1783	2012/03/16	2012/11/17	Scaffolds or contigs	Cornell University
Campylobacter jejuni subsp. jejuni 1213	889230	PRJNA180378	180378	Proteobacteria	delta/epsilon subdivisions	1.64806	46	-	-	-	-	AIPG01	125	1764	1729	2012/03/16	2012/11/17	Scaffolds or contigs	Cornell University
Campylobacter jejuni subsp. jejuni 1577	889231	PRJNA180379	180379	Proteobacteria	delta/epsilon subdivisions	1.70366	46	-	-	-	-	AIPH01	170	1851	1817	2012/03/16	2012/11/17	Scaffolds or contigs	Cornell University
Campylobacter jejuni subsp. jejuni 1798	889232	PRJNA180380	180380	Proteobacteria	delta/epsilon subdivisions	1.60281	46	-	-	-	-	AIPI01	106	1693	1659	2012/03/16	2012/11/17	Scaffolds or contigs	Cornell University
Campylobacter jejuni subsp. jejuni 1854	889233	PRJNA180381	180381	Proteobacteria	delta/epsilon subdivisions	1.62251	46	-	-	-	-	AIPJ01	110	1730	1694	2012/03/16	2012/11/17	Scaffolds or contigs	Cornell University
Campylobacter jejuni subsp. jejuni 1893	889234	PRJNA180382	180382	Proteobacteria	delta/epsilon subdivisions	1.62643	46	-	-	-	-	AIPK01	101	1724	1689	2012/03/16	2012/11/17	Scaffolds or contigs	Cornell University
Campylobacter jejuni subsp. jejuni 1928	889235	PRJNA180383	180383	Proteobacteria	delta/epsilon subdivisions	1.6374	46	-	-	-	-	AIPL01	127	1774	1741	2012/03/16	2012/11/17	Scaffolds or contigs	Cornell University
